City_ID,city,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
72,yellowknife,-0.6,73.0833,82.89,12.0,74.0,13.06,MV,1623025156.0
73,tiksi,63.7506,-68.5145,33.53,75.0,86.0,5.99,CA,1623025157.0
74,castro,31.61,34.7642,68.68,0.0,76.0,1.34,IL,1623025157.0
75,khatanga,-30.1811,-50.2056,63.28,100.0,75.0,11.48,BR,1623025157.0
76,kaka,41.0002,-115.5012,87.82,31.0,5.0,21.0,US,1623024914.0
77,vila franca do campo,39.05,-27.9833,63.68,100.0,88.0,12.41,PT,1623024874.0
78,hithadhoo,66.7697,123.3711,53.85,100.0,40.0,15.48,RU,1623025158.0
79,iqaluit,-38.0023,-57.5575,54.12,64.0,69.0,5.01,AR,1623024898.0
80,gat,15.85,-97.0667,83.89,67.0,81.0,5.75,MX,1623025158.0
81,cidreira,-46.1927,168.8643,49.48,49.0,70.0,4.09,NZ,1623025158.0
82,elko,24.0934,32.907,82.31,2.0,17.0,12.71,EG,1623025096.0
83,lagoa,55.2999,-123.1698,61.56,98.0,31.0,5.41,CA,1623024950.0
84,zhigansk,62.2266,-6.589,49.12,100.0,99.0,13.56,FO,1623025158.0
85,mar del plata,18.7369,7.3853,91.35,48.0,14.0,9.86,NE,1623025159.0
86,puerto escondido,-22.9661,-42.0278,73.58,100.0,87.0,18.45,BR,1623025159.0
87,mataura,1.2376,111.4621,75.25,20.0,94.0,2.3,MY,1623025159.0
88,aswan,-1.5746,9.2618,75.76,89.0,95.0,4.61,GA,1623025159.0
89,mackenzie,54.5163,-128.6035,58.91,75.0,58.0,3.44,CA,1623025160.0
90,klaksvik,22.8909,-109.9124,99.52,1.0,37.0,5.75,MX,1623024911.0
91,arlit,22.2855,114.1577,82.45,52.0,81.0,3.0,HK,1623024912.0
92,arraial do cabo,3.0707,172.7902,82.83,11.0,72.0,8.43,KI,1623025160.0
93,sri aman,46.8333,6.25,55.63,74.0,99.0,3.2,FR,1623025160.0
94,kuche,-26.7852,-60.4388,59.95,100.0,96.0,5.28,AR,1623025160.0
95,omboue,24.6877,46.7219,91.54,0.0,15.0,3.44,SA,1623025063.0
96,terrace,-28.24,-48.6703,62.49,100.0,96.0,9.22,BR,1623025161.0
97,cabo san lucas,-28.7667,114.6,57.61,95.0,77.0,18.68,AU,1623024873.0
98,victoria,-21.3667,55.6167,71.98,72.0,86.0,14.85,RE,1623025161.0
99,butaritari,14.8961,-24.4956,73.94,46.0,75.0,9.42,CV,1623024876.0
100,pontarlier,-8.4667,140.3333,77.65,99.0,87.0,14.2,ID,1623025161.0
101,presidencia roque saenz pena,22.0752,-159.319,82.72,75.0,70.0,4.0,US,1623025161.0
102,riyadh,-35.1667,173.1667,61.95,100.0,88.0,11.34,NZ,1623025162.0
103,imbituba,-42.7826,147.0587,59.88,100.0,45.0,7.85,AU,1623025162.0
104,attawapiskat,-6.8844,112.2051,79.11,19.0,81.0,7.38,ID,1623024940.0
105,geraldton,66.9395,-53.6735,42.87,100.0,83.0,2.17,GL,1623025162.0
106,saint-joseph,-20.3428,57.7575,73.65,40.0,78.0,14.63,MU,1623025162.0
107,sao filipe,12.9983,8.9099,86.23,78.0,40.0,9.46,NE,1623025032.0
108,merauke,-20.2333,164.0167,73.45,85.0,57.0,15.08,NC,1623025163.0
109,kapaa,-2.0226,147.2712,83.37,90.0,69.0,5.28,PG,1623025163.0
110,ahipara,-34.5322,20.0403,58.32,5.0,44.0,7.34,ZA,1623025163.0
111,new norfolk,70.0311,20.9714,48.02,40.0,62.0,3.78,NO,1623025163.0
112,labuhan,-38.5473,-58.7368,44.04,100.0,59.0,7.81,AR,1623025164.0
113,sisimiut,65.282,-126.8329,53.64,75.0,58.0,3.44,CA,1623025164.0
114,bambous virieux,-19.55,169.2667,75.31,75.0,64.0,10.69,VU,1623025164.0
115,magaria,-3.35,35.85,61.95,31.0,88.0,1.21,TZ,1623025164.0
116,poum,56.55,37.8833,54.88,71.0,93.0,2.46,RU,1623025165.0
117,lorengau,35.1981,-111.6513,82.13,1.0,13.0,5.01,US,1623025165.0
118,bredasdorp,2.2556,-77.2488,67.06,100.0,98.0,1.1,CO,1623025165.0
119,skjervoy,0.5333,72.9333,82.76,13.0,74.0,12.3,MV,1623025165.0
120,necochea,63.8986,122.7617,48.97,100.0,88.0,8.61,RU,1623025166.0
121,norman wells,35.0887,-92.4421,75.18,90.0,91.0,3.8,US,1623025166.0
122,isangel,41.7597,86.1469,71.74,40.0,38.0,10.25,CN,1623025166.0
123,mto wa mbu,-21.3393,55.4781,73.08,90.0,83.0,19.57,RE,1623025166.0
124,bogorodskoye,-19.0595,-169.9187,78.69,48.0,65.0,6.91,NU,1623025167.0
125,flagstaff,-0.7393,-90.3518,73.54,38.0,94.0,5.01,EC,1623025167.0
126,argelia,38.2276,15.6386,75.16,20.0,59.0,1.36,IT,1623025167.0
127,thinadhoo,7.3008,18.2833,70.38,61.0,88.0,4.41,CF,1623025167.0
128,kysyl-syr,18.7333,-103.6833,90.88,74.0,58.0,6.04,MX,1623025168.0
129,wahran,-46.2817,169.8464,50.58,62.0,69.0,5.66,NZ,1623025168.0
130,conway,46.6166,10.7002,57.61,99.0,95.0,3.02,IT,1623025168.0
131,korla,17.0151,54.0924,84.29,75.0,89.0,5.75,OM,1623025168.0
132,saint-pierre,69.4541,-133.0374,37.4,75.0,65.0,13.8,CA,1623025169.0
133,alofi,41.1415,-73.3579,86.76,1.0,59.0,1.01,US,1623024985.0
134,puerto ayora,-6.6024,147.8681,82.8,79.0,74.0,7.4,PG,1623025169.0
135,villa san giovanni,37.9281,102.6414,64.98,76.0,47.0,4.32,CN,1623025170.0
136,batangafo,46.6806,113.2792,71.19,98.0,40.0,15.43,MN,1623025170.0
137,coahuayana,64.8569,-147.8028,72.66,75.0,54.0,12.66,US,1623025170.0
138,saleaula,40.5982,-124.1573,70.48,20.0,59.0,5.99,US,1623025171.0
139,kaitangata,44.3,86.0333,64.2,6.0,42.0,5.28,CN,1623025171.0
140,lasa,-12.529,27.8838,51.35,96.0,74.0,6.15,ZM,1623025171.0
141,illoqqortoormiut,-7.5667,24.1833,68.02,29.0,61.0,3.4,CD,1623025171.0
