city,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
khatanga,-30.1811,-50.2056,62.94,100.0,95.0,7.34,BR,1622954326.0
kaka,41.0002,-115.5012,70.65,18.0,17.0,7.0,US,1622954572.0
vila franca do campo,39.05,-27.9833,62.92,99.0,89.0,10.16,PT,1622954572.0
hithadhoo,66.7697,123.3711,56.26,61.0,30.0,7.85,RU,1622954389.0
iqaluit,-38.0023,-57.5575,47.12,0.0,62.0,3.0,AR,1622954133.0
gat,15.85,-97.0667,82.53,100.0,80.0,6.04,MX,1622954431.0
cidreira,-46.1927,168.8643,49.48,20.0,93.0,0.6,NZ,1622954322.0
elko,24.0934,32.907,80.26,5.0,26.0,18.5,EG,1622954557.0
lagoa,55.2999,-123.1698,57.42,75.0,41.0,2.3,CA,1622954573.0
zhigansk,62.2266,-6.589,49.12,75.0,93.0,10.49,FO,1622954355.0
mar del plata,18.7369,7.3853,90.9,60.0,15.0,8.34,NE,1622954573.0
puerto escondido,-22.9661,-42.0278,72.68,0.0,87.0,20.65,BR,1622954327.0
mataura,1.2376,111.4621,86.09,40.0,79.0,0.0,MY,1622954573.0
aswan,-1.5746,9.2618,75.99,100.0,92.0,3.6,GA,1622954426.0
mackenzie,54.5163,-128.6035,48.42,90.0,81.0,16.11,CA,1622954573.0
klaksvik,22.8909,-109.9124,86.81,1.0,56.0,11.81,MX,1622954323.0
arlit,22.2855,114.1577,87.85,33.0,70.0,1.01,HK,1622954244.0
arraial do cabo,3.0707,172.7902,82.9,27.0,73.0,7.18,KI,1622954333.0
sri aman,46.8333,6.25,54.16,99.0,97.0,4.74,FR,1622954574.0
kuche,-26.7852,-60.4388,66.52,100.0,93.0,7.58,AR,1622954574.0
omboue,24.6877,46.7219,98.65,0.0,6.0,8.05,SA,1622954281.0
terrace,-28.24,-48.6703,69.69,63.0,90.0,17.36,BR,1622954571.0
cabo san lucas,-28.7667,114.6,72.12,0.0,40.0,11.59,AU,1622954290.0
victoria,-21.3667,55.6167,74.46,52.0,81.0,2.53,RE,1622954574.0
butaritari,14.8961,-24.4956,76.12,86.0,69.0,10.4,CV,1622954376.0
pontarlier,-8.4667,140.3333,80.53,94.0,82.0,15.1,ID,1622954317.0
presidencia roque saenz pena,22.0752,-159.319,82.38,20.0,73.0,3.0,US,1622954147.0
riyadh,-35.1667,173.1667,58.64,100.0,94.0,13.38,NZ,1622954229.0
imbituba,-42.7826,147.0587,52.57,100.0,48.0,4.94,AU,1622954370.0
attawapiskat,-6.8844,112.2051,88.32,9.0,59.0,3.76,ID,1622954405.0
geraldton,66.9395,-53.6735,40.46,100.0,93.0,4.97,GL,1622954398.0
saint-joseph,-20.3428,57.7575,77.22,75.0,88.0,1.54,MU,1622954154.0
sao filipe,12.9983,8.9099,79.74,68.0,59.0,9.04,NE,1622954568.0
merauke,-20.2333,164.0167,73.8,100.0,63.0,21.72,NC,1622954575.0
kapaa,-2.0226,147.2712,81.7,98.0,77.0,7.0,PG,1622954368.0
ahipara,-34.5322,20.0403,47.52,2.0,66.0,5.93,ZA,1622954342.0
new norfolk,70.0311,20.9714,42.87,8.0,79.0,1.41,NO,1622954384.0
labuhan,-38.5473,-58.7368,45.77,0.0,69.0,10.67,AR,1622954398.0
sisimiut,65.282,-126.8329,48.24,90.0,71.0,10.36,CA,1622954364.0
bambous virieux,-19.55,169.2667,77.11,75.0,73.0,15.17,VU,1622954575.0
magaria,-3.35,35.85,63.75,96.0,90.0,3.44,TZ,1622954576.0
poum,56.55,37.8833,62.89,1.0,72.0,7.45,RU,1622954517.0
lorengau,35.1981,-111.6513,73.06,1.0,25.0,1.99,US,1622954550.0
bredasdorp,2.2556,-77.2488,65.62,100.0,99.0,0.98,CO,1622954576.0
skjervoy,0.5333,72.9333,82.83,97.0,75.0,12.88,MV,1622954576.0
necochea,63.8986,122.7617,62.15,93.0,31.0,5.14,RU,1622954576.0
norman wells,35.0887,-92.4421,72.09,90.0,94.0,4.72,US,1622954577.0
isangel,41.7597,86.1469,84.24,58.0,23.0,12.55,CN,1622954170.0
mto wa mbu,-21.3393,55.4781,75.56,90.0,77.0,10.36,RE,1622954360.0
bogorodskoye,-19.0595,-169.9187,75.09,26.0,73.0,8.05,NU,1622954109.0
flagstaff,-0.7393,-90.3518,72.55,18.0,92.0,3.0,EC,1622954144.0
argelia,38.2276,15.6386,75.99,0.0,50.0,3.0,IT,1622954577.0
thinadhoo,7.3008,18.2833,70.84,100.0,89.0,8.88,CF,1622954577.0
kysyl-syr,18.7333,-103.6833,78.93,97.0,88.0,1.14,MX,1622954437.0
wahran,-46.2817,169.8464,51.93,64.0,63.0,1.7,NZ,1622954342.0
conway,46.6166,10.7002,58.08,100.0,94.0,5.01,IT,1622954578.0
korla,17.0151,54.0924,87.89,75.0,70.0,3.44,OM,1622954423.0
saint-pierre,69.4541,-133.0374,33.8,75.0,80.0,10.36,CA,1622954125.0
alofi,41.1415,-73.3579,80.91,1.0,81.0,6.6,US,1622954314.0
puerto ayora,-6.6024,147.8681,83.73,62.0,72.0,9.98,PG,1622954578.0
villa san giovanni,37.9281,102.6414,73.62,100.0,38.0,1.77,CN,1622954578.0
batangafo,46.6806,113.2792,77.79,32.0,14.0,6.58,MN,1622954579.0
coahuayana,64.8569,-147.8028,69.46,75.0,48.0,0.0,US,1622954345.0
saleaula,40.5982,-124.1573,53.94,100.0,65.0,4.0,US,1622954386.0
kaitangata,44.3,86.0333,65.82,92.0,40.0,2.48,CN,1622954579.0
lasa,-12.529,27.8838,51.37,100.0,78.0,5.73,ZM,1622954579.0
illoqqortoormiut,-7.5667,24.1833,64.81,20.0,61.0,6.42,CD,1622954579.0
salalah,41.3712,-73.414,78.67,1.0,65.0,5.75,US,1622954125.0
tuktoyaktuk,10.0404,-10.7434,69.13,100.0,97.0,3.91,GN,1622954580.0
banmo,29.1614,16.139,68.85,0.0,40.0,7.54,LY,1622954580.0
westport,34.7833,133.6167,80.06,98.0,51.0,1.99,JP,1622954580.0
finschhafen,71.2906,-156.7887,33.82,75.0,86.0,12.66,US,1622954120.0
umzimvubu,66.8333,70.8333,43.18,97.0,49.0,15.68,RU,1622954580.0
wuwei,60.9167,-46.05,44.82,100.0,85.0,1.97,GL,1622954341.0
baruun-urt,20.1986,1.0114,90.79,7.0,11.0,11.86,ML,1622954581.0
college,57.79,-152.4072,60.31,1.0,41.0,17.27,US,1622954153.0
fortuna,2.8197,-60.6733,76.98,90.0,88.0,2.3,BR,1622954581.0
shihezi,1.6136,16.0517,69.26,100.0,98.0,2.48,CG,1622954581.0
chingola,-25.2406,130.9889,69.64,0.0,28.0,9.22,AU,1622954421.0
kaniama,11.7751,-72.4445,80.65,100.0,79.0,14.09,CO,1622954582.0
bethel,4.1363,96.1285,84.34,92.0,66.0,5.26,ID,1622954582.0
faranah,60.4997,43.5761,71.46,6.0,48.0,3.47,RU,1622954582.0
waddan,-14.25,129.55,88.09,99.0,23.0,2.24,AU,1622954582.0
takahashi,-10.8764,26.5969,52.48,100.0,81.0,5.37,CD,1622954583.0
barrow,-7.4846,108.7923,92.21,30.0,50.0,4.45,ID,1622954583.0
yar-sale,40.5614,65.6886,93.29,0.0,10.0,4.36,UZ,1622954583.0
duz,47.6666,-52.7314,53.76,90.0,98.0,13.8,CA,1622954129.0
narsaq,28.5833,65.4167,95.74,0.0,25.0,7.02,PK,1622954583.0
tessalit,-3.2778,-39.2689,76.3,3.0,87.0,7.2,BR,1622954447.0
kodiak,64.4803,76.6897,49.41,70.0,45.0,11.9,RU,1622954584.0
boa vista,64.8378,-147.7164,66.2,75.0,47.0,4.61,US,1622954443.0
ouesso,8.0434,-77.0945,75.42,94.0,98.0,2.13,CO,1622954584.0
yulara,6.1333,102.2386,93.88,20.0,66.0,5.01,MY,1622954310.0
manaure,53.6039,91.3903,48.09,75.0,87.0,15.75,RU,1622954584.0
samusu,-6.2132,155.5367,83.61,19.0,82.0,5.03,PG,1622954584.0
meulaboh,-22.0016,148.0466,71.74,40.0,25.0,13.18,AU,1622954585.0
tarnogskiy gorodok,58.965,-3.296,51.76,100.0,88.0,11.52,GB,1622954585.0
chagda,68.0546,166.4372,71.96,44.0,21.0,15.48,RU,1622954385.0
port keats,69.2167,-51.1,39.22,25.0,81.0,11.5,GL,1622954341.0
kambove,68.75,161.3,71.2,25.0,26.0,20.65,RU,1622954196.0
sidareja,38.5167,-28.7,64.2,96.0,88.0,8.68,PT,1622954104.0
nurota,16.8634,-99.8901,82.17,76.0,77.0,3.89,MX,1622954327.0
torbay,-51.6226,-69.2181,35.65,90.0,75.0,11.5,AR,1622954382.0
kharan,39.2048,-84.428,70.9,1.0,82.0,3.98,US,1622954585.0
trairi,-33.0153,27.9116,54.54,0.0,62.0,8.05,ZA,1622954324.0
purpe,-34.6534,-58.6198,53.35,2.0,64.0,4.79,AR,1622954586.0
fairbanks,61.5598,45.934,74.68,14.0,38.0,3.06,RU,1622954586.0
unguia,22.5667,59.5289,92.8,23.0,53.0,6.35,OM,1622954414.0
